Time [s],CH1 [V]
8.000000e-07,-0.124000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.128000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.120000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
8.000000e-07,-0.124000000000,
